,count,mean,min,25%,50%,75%,max,std
FICHA_FIC,56473.0,8296296388.088892,203027130.0,1120242189.0,2180257869.0,3190255554.0,41602230448.0,14035958283.534454
FECHA_INTERVENCION,56473,2023-03-05 22:15:59.396525824,2021-03-13 00:00:00,2022-03-11 00:00:00,2023-03-29 00:00:00,2024-02-19 00:00:00,2025-03-31 00:00:00,
INFORMACIÓN_DEL_MENOR,56473.0,110344.38676889842,0.0,99999.0,99999.0,99999.0,415721.0,48690.58852555499
SUBSECCIÓN__INFORMACIÓN_DEL_MENOR_NNA_IDENTIFICADO_COMO_TRABAJADOR,56473.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.0
EDAD,56473.0,43791.857825863684,0.0,8.0,15.0,99999.0,99999.0,49608.05284073292
PERSONAS_A_CARGO,56473.0,92871.77182016184,0.0,99999.0,99999.0,99999.0,99999.0,25728.000282416928
ESPECIAL,56473.0,99942.34002089495,0.0,99999.0,99999.0,99999.0,99999.0,2379.592639781559
UPZUPR,56473.0,17141.514263453333,1.0,44.0,70.0,95.0,99999.0,37620.450607068175
ÚLTIMA_INTERVENCIÓN,56473.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.0
NÚMERO_DE_FICHA_ANTERIOR,56473.0,301275593.99665326,99999.0,99999.0,99999.0,99999.0,41602222570.0,3300932034.859028
SUBSECCIÓN__INFORMACIÓN_DEL_ACUDIENTE,56473.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.0
SUBSECCIÓN__INFORMACIÓN_LABORAL,56473.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.0
ESPECIAL1,56473.0,99906.92316682308,1.0,99999.0,99999.0,99999.0,99999.0,3033.003679991758
UPZUPR1,56473.0,31309.429391036425,3.0,50.0,81.0,99999.0,99999.0,46330.358237425484
ACOMPAÑAMIENTO_2,56473.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.0
ACOMPAÑAMIENTO_3,56473.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.0
ACOMPAÑAMIENTO_4,56473.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.0
PESO,56473.0,96679.66980167513,4.2,99999.0,99999.0,99999.0,99999.0,17889.22822139129
TALLA_CM,56473.0,96674.25271882139,1.02,99999.0,99999.0,99999.0,99999.0,17916.454005437492
SUBSECCIÓN__INTERVENCIÓN_DE_NIÑO_NIÑA_O_ADOLESCENTE,56473.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.0
SUBSECCIÓN__RESULTADOS_DE_LA_INTERVENCIÓN,56473.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.0
SUBSECCIÓN__RESULTADOS_DE_LA_REPOSICION,56473.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.0
